"","Effective Federal Funds Rate"
"797",0.0863333333333333
"798",0.09
"799",0.0851612903225806
"800",0.0757142857142857
"801",0.0696774193548387
"802",0.069
"803",0.0580645161290323
"804",0.078
"805",0.0980645161290323
"806",0.092258064516129
"807",0.0793333333333333
"808",0.0790322580645161
"809",0.0796666666666667
"810",0.0796774193548387
"811",0.0793548387096774
"812",0.08
"813",0.200967741935484
"814",0.33
"815",0.765483870967742
"816",1.205
"817",1.6758064516129
"818",2.33
"819",2.555
"820",3.08
